2025-12-22 11:14:07.949 [info] Reading sessions from keychain...
2025-12-22 11:14:07.949 [info] Got stored sessions!
2025-12-22 11:14:07.949 [info] Got 1 verified sessions.
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.949 [info] Got 1 sessions for ...
2025-12-22 11:14:07.949 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-22 11:14:07.949 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2025-12-22 11:14:07.978 [info] Getting sessions for all scopes...
2025-12-22 11:14:07.978 [info] Got 1 sessions for ...
2025-12-22 11:14:07.979 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-22 11:14:07.979 [info] Got 1 sessions for read:user,repo,user:email,workflow...
