2025-12-23 17:23:04.394 [info] Reading sessions from keychain...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got stored sessions!
2025-12-23 17:23:04.394 [info] Got 1 verified sessions.
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.394 [info] Got 1 sessions for ...
2025-12-23 17:23:04.394 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-23 17:23:04.394 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2025-12-23 17:23:04.532 [info] Getting sessions for all scopes...
2025-12-23 17:23:04.532 [info] Got 1 sessions for ...
